,CrashId,Fatal Case Status,lat,lon,DOT Case Number,Date Of Crash,Time of Crash,Crash Severity,Crash Severity Text Format,Most Severe Injury,Most Severe Injury Text Format,Number Of Motor Vehicles,Route Class Text Format,Milemarker,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description,Distance From Nearest Landmark,Unit Of Measure From Nearest Landmark,Direction From Nearest Landmark,Weather Condition,Weather Condition Text Format,Light Condition,Light Condition Text Format,Road Surface Condition,Road Surface Condition Text Format,Average Daily Traffic,Trafficway Class Text Format,full_date
1878,831394,1,41.33874,-72.93516,3334486,7/6/21,12:23:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.21,10,CT-10,10-N,,ARCH ST,50,Feet,N,1,Clear,1,Daylight,1,Dry,21100,"Trafficway, On Road",7/6/21 12:23
123,827999,1,41.367106,-72.920713,3331092,7/6/21,13:37:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,7.14,10,CT-10,10-N,CONNOLLY PKWY,,,,N,1,Clear,1,Daylight,1,Dry,38300,"Trafficway, On Road",7/6/21 13:37
8211,831395,1,41.35346,-72.90294,3334487,7/6/21,14:00:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),3,Local,1.29,452,RIDGE RD,RIDGE RD,WAITE ST,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/6/21 14:00
5881,832408,1,41.36543,-72.93431,3335500,7/7/21,7:22:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.57,42,BENHAM ST,BENHAM ST,CHERRY HILL RD,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/7/21 7:22
4215,830024,1,41.378278,-72.905294,3333116,7/7/21,11:21:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,State,0.17,15,15-S,15-S-122,,15-S,95,Feet,N,1,Clear,1,Daylight,1,Dry,9700,"Trafficway, On Road",7/7/21 11:21
7857,831396,1,41.33593,-72.90203,3334488,7/7/21,14:30:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),1,Local,0.54,414,PARK RD,PARK RD,,Davis St.,100,Feet,S,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/7/21 14:30
5475,828000,1,41.383121,-72.899079,3331093,7/7/21,16:47:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.14,717,DIXWELL AV,717-E,WASHINGTON AV,,,,N,1,Clear,1,Daylight,1,Dry,15700,"Trafficway, On Road",7/7/21 16:47
3746,839069,1,41.377212,-72.906589,3342161,7/8/21,7:49:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,51.37,15,15-S,15-S,,#61,2,Feet,S,1,Clear,1,Daylight,1,Dry,72600,"Trafficway, On Road",7/8/21 7:49
1879,831397,1,41.342496,-72.934883,3334489,7/8/21,13:19:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.29,10,CT-10,10-N,1st st ,,,,,2,Cloudy,1,Daylight,1,Dry,21100,"Trafficway, On Road",7/8/21 13:19
6205,828001,1,41.36313,-72.937143,3331094,7/8/21,16:07:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.2,99,CIRCULAR AV,CIRCULAR AV,,Ursini Dr. North,1,TenthsofMile,S,4,Rain,1,Daylight,2,Wet,,"Trafficway, On Road",7/8/21 16:07
2604,831398,1,41.338282,-72.941106,3334490,7/8/21,16:27:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,4.7,10,CT-10,10-N,FAIRVIEW AV,,,,,4,Rain,1,Daylight,2,Wet,10700,"Trafficway, On Road",7/8/21 16:27
2605,831399,1,41.3380939,-72.94126,3334491,7/8/21,16:55:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,4.86,10,CT-10,10-N,,Arch St,15,Feet,S,4,Rain,1,Daylight,2,Wet,10700,"Trafficway, On Road",7/8/21 16:55
3682,829539,1,41.36413189,-72.92904166,3332632,7/9/21,5:58:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),1,State,49.82,15,15-S,15-S,,Exit 60 ,5,TenthsofMile,S,4,Rain,1,Daylight,2,Wet,77800,"Trafficway, On Road",7/9/21 5:58
3681,828788,1,41.363327,-72.930331,3331881,7/9/21,6:11:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,49.73,15,15-S,15-S,,Exit 60,5,TenthsofMile,S,4,Rain,1,Daylight,2,Wet,77800,"Trafficway, On Road",7/9/21 6:11
375,828002,1,41.362448,-72.923921,3331095,7/9/21,16:59:00,O,Property Damage Only,O,No Apparent Injury (O),3,State,6.96,10,CT-10,10-N,,BENHAM ST.,75,Feet,S,1,Clear,1,Daylight,1,Dry,31800,"Trafficway, On Road",7/9/21 16:59
7180,833982,1,41.358787,-72.900572,3337074,7/9/21,18:32:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0,257,HIGH MEADOW RD,HIGH MEADOW RD,RIDGE RD,,,,E,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/9/21 18:32
3747,839175,1,41.374144,-72.91002,3342267,7/9/21,19:25:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,51.1,15,15-S,15-S,,Exit 61 ,5,Feet,S,1,Clear,1,Daylight,1,Dry,72600,"Trafficway, On Road",7/9/21 19:25
2107,831400,1,41.425359,-72.90589,3334492,7/10/21,12:11:00,O,Property Damage Only,O,No Apparent Injury (O),3,State,11.99,10,CT-10,10-N,,Todd. St.,1,TenthsofMile,N,1,Clear,1,Daylight,1,Dry,17500,"Trafficway, On Road",7/10/21 12:11
2607,835450,1,41.338272,-72.940921,3338542,7/10/21,23:49:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,4.7,10,CT-10,10-N,FAIRVIEW AV,,,,,1,Clear,4,Dark-Lighted,1,Dry,10700,"Trafficway, On Road",7/10/21 23:49
4393,828811,1,41.381071,-72.900472,3331904,7/11/21,1:08:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,51.84,15,15-S,15-S,,15-S-126,100,Feet,E,1,Clear,4,Dark-Lighted,1,Dry,,"Trafficway, On Road",7/11/21 1:08
5972,831401,1,41.337011,-72.937909,3334493,7/11/21,11:40:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.1,52,BOWEN ST,BOWEN ST,EASTON ST,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/11/21 11:40
1715,831402,1,41.369659,-72.919033,3334494,7/11/21,15:57:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,7.52,10,CT-10,10-N,,Connolly Pkwy,1,TenthsofMile,N,1,Clear,1,Daylight,1,Dry,22000,"Trafficway, On Road",7/11/21 15:57
7498,831403,1,41.38045,-72.917582,3334495,7/12/21,6:48:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,1.26,366,MIX AV,MIX AV,,Shepard Ave,20,Feet,S,2,Cloudy,1,Daylight,2,Wet,,"Trafficway, On Road",7/12/21 6:48
701,833983,1,41.42065,-72.90444,3337075,7/13/21,9:58:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,11.48,10,CT-10,10-N,WEST WOODS RD NO 1,,,,,1,Clear,1,Daylight,1,Dry,25700,"Trafficway, On Road",7/13/21 9:58
5476,831404,1,41.383353,-72.901194,3334496,7/13/21,12:03:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.03,717,DIXWELL AV,717-E,,Whitney Ave,185,Feet,E,1,Clear,1,Daylight,1,Dry,15700,"Trafficway, On Road",7/13/21 12:03
4216,830170,1,41.378124,-72.90532,3333262,7/13/21,12:27:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.18,15,15-S,15-S-122,,RT 15,5,Feet,N,1,Clear,1,Daylight,1,Dry,9700,"Trafficway, On Road",7/13/21 12:27
7185,833984,1,41.342101,-72.950074,3337076,7/13/21,13:36:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.24,607,HIGH TOP CIR,HIGH TOP CIR,,MIDHILL DR,1,TenthsofMile,S,2,Cloudy,1,Daylight,2,Wet,,"Trafficway, On Road",7/13/21 13:36
6768,830226,1,41.393824,-72.904393,3333318,7/14/21,15:41:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.38,196,FOREST ST,FOREST ST,EVERGREEN AV,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/14/21 15:41
3381,830243,1,41.365727,-72.922162,3333335,7/14/21,17:18:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,50.19,15,15-N,15-N,,Exit 59,2,TenthsofMile,N,1,Clear,1,Daylight,1,Dry,59700,"Trafficway, On Road",7/14/21 17:18
4214,829918,1,41.378179,-72.905298,3333010,7/14/21,17:50:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.18,15,15-S,15-S-122,,RT 15,15,Feet,N,1,Clear,1,Daylight,1,Dry,9700,"Trafficway, On Road",7/14/21 17:50
8503,833066,1,41.388893,-72.922175,3336158,7/15/21,11:05:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.87,489,SHEPARD AV,SHEPARD AV,Shepard HIll Ave,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/15/21 11:05
124,833067,1,41.3629,-72.92362,3336159,7/15/21,14:20:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,7,10,CT-10,10-N,,Benham St.,20,Feet,N,1,Clear,1,Daylight,1,Dry,38300,"Trafficway, On Road",7/15/21 14:20
4892,831406,1,41.34793,-72.91313,3334498,7/16/21,17:09:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,1.08,707,WHITNEY AV,707-N,TREADWELL ST,,,,N,1,Clear,1,Daylight,1,Dry,17000,"Trafficway, On Road",7/16/21 17:09
6757,831407,1,41.349594,-72.892633,3334499,7/16/21,18:09:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.55,192,FOOTE ST,FOOTE ST,STATE ST.,,,,E,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/16/21 18:09
7435,832410,1,41.354191,-72.93106,3335502,7/16/21,18:46:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.06,364,MILLIS ST,MILLIS ST,,Grendview Avenue,300,Feet,E,2,Cloudy,1,Daylight,1,Dry,,"Trafficway, Not on Road",7/16/21 18:46
6576,831408,1,41.361614,-72.936655,3334500,7/16/21,19:40:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0,165,ELEANOR ST,ELEANOR ST,CHERRY HILL RD,,,,,4,Rain,1,Daylight,2,Wet,,"Trafficway, On Road",7/16/21 19:40
1525,830387,1,41.3509,-72.931,3333479,7/17/21,2:16:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,6.09,10,CT-10,10-N,,Beacon Street,5,Feet,S,1,Clear,4,Dark-Lighted,1,Dry,22600,"Trafficway, On Road",7/17/21 2:16
8312,831409,1,41.385241,-72.906854,3334501,7/17/21,10:39:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0,480,SCHOOL ST,SCHOOL ST,EVERGREEN AV,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/17/21 10:39
8248,833985,1,41.407741,-72.913997,3337077,7/17/21,11:06:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.5,461,ROCKY TOP RD,ROCKY TOP RD,,Greenes Ridge Rd,100,Feet,E,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/17/21 11:06
5438,833986,1,41.383105,-72.898383,3337078,7/17/21,14:32:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.18,717,DIXWELL AV,717-E,,Washington Ave,50,Feet,E,1,Clear,1,Daylight,1,Dry,18900,"Trafficway, On Road",7/17/21 14:32
1882,837521,1,41.338692,-72.935256,3340613,7/17/21,17:26:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.21,10,CT-10,10-N,,Arch St,50,Feet,N,2,Cloudy,1,Daylight,1,Dry,21100,"Trafficway, On Road",7/17/21 17:26
8212,835979,1,41.339991,-72.902446,3339071,7/17/21,23:20:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.34,452,RIDGE RD,RIDGE RD,,State st,100,Feet,W,1,Clear,5,Dark-Not Lighted,1,Dry,,"Trafficway, On Road",7/17/21 23:20
7267,831410,1,41.3611,-72.92703,3334502,7/18/21,10:57:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.21,307,LAKEVIEW AV,LAKEVIEW AV,,MAPLEWOOD TER.,126,Feet,S,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/18/21 10:57
7637,833748,1,41.42312,-72.881947,3336840,7/18/21,15:33:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.69,375,MOUNT CARMEL AV,MOUNT CARMEL AV,,OUTER RIDGE RD,200,Feet,E,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/18/21 15:33
7806,831411,1,41.367,-72.942161,3334503,7/19/21,7:42:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0,411,PARADISE AV,PARADISE AV NO 5,BENHAM ST,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/19/21 7:42
5411,919638,1,41.356991,-72.910426,3416795,7/19/21,8:21:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,1.75,707,WHITNEY AV,707-N,FORD ST,,,,,2,Cloudy,1,Daylight,1,Dry,,"Trafficway, On Road",7/19/21 8:21
9325,831412,1,41.346215,-72.945603,3334504,7/19/21,8:30:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,1.11,598,WOODIN ST,WOODIN ST,Pine Rock Ave,,,,E,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/19/21 8:30
6225,880104,1,41.354817,-72.936493,3382202,7/19/21,8:42:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),1,Local,0.79,99,CIRCULAR AV,CIRCULAR AV,CHURCH ST,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/19/21 8:42
1066,831413,1,41.345815,-72.934052,3334505,7/19/21,17:45:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.7,10,CT-10,10-N,,PUTNAM AVE.,70,Feet,S,1,Clear,1,Daylight,1,Dry,24700,"Trafficway, On Road",7/19/21 17:45
7777,833987,1,41.360109,-72.951416,3337079,7/19/21,23:48:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.16,405,ORCHARD HEIGHTS DR,ORCHARD HEIGHTS DR,,Hodder Drive,670,Feet,N,1,Clear,4,Dark-Lighted,1,Dry,,"Trafficway, On Road",7/19/21 23:48
4219,833543,1,41.378137,-72.905331,3336635,7/20/21,13:36:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.18,15,15-S,15-S-122,,Rt 15 S/B,5,Feet,N,1,Clear,1,Daylight,1,Dry,9700,"Trafficway, On Road",7/20/21 13:36
3489,833544,1,41.380685,-72.900791,3336636,7/20/21,14:21:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,0.23,15,15-N,15-N-125,,Rt 15 Northbound,5,Feet,S,1,Clear,1,Daylight,1,Dry,2500,"Trafficway, On Road",7/20/21 14:21
3488,832002,1,41.38055,-72.900786,3335094,7/21/21,14:34:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.22,15,15-N,15-N-125,,15-N,80,Feet,S,4,Rain,1,Daylight,2,Wet,2500,"Trafficway, On Road",7/21/21 14:34
2109,833989,1,41.438591,-72.909744,3337081,7/22/21,8:53:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),3,State,12.92,10,CT-10,10-N,,RIVER RD,40,Feet,S,1,Clear,1,Daylight,1,Dry,17500,"Trafficway, On Road",7/22/21 8:53
4227,833426,1,41.37941,-72.903908,3336518,7/22/21,12:37:00,O,Property Damage Only,O,No Apparent Injury (O),1,State,0.15,15,15-S,15-S-123,,Whitney Ave,120,Feet,W,1,Clear,1,Daylight,1,Dry,9700,"Trafficway, Not on Road",7/22/21 12:37
1717,835980,1,41.371593,-72.917685,3339072,7/22/21,12:58:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,7.67,10,CT-10,10-N,,Skiff St,1150,Feet,S,1,Clear,1,Daylight,1,Dry,22000,"Trafficway, On Road",7/22/21 12:58
4218,833427,1,41.37812,-72.905313,3336519,7/22/21,13:52:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.18,15,15-S,15-S-122,,rt15,30,Feet,N,1,Clear,1,Daylight,1,Dry,9700,"Trafficway, On Road",7/22/21 13:52
7500,833990,1,41.369643,-72.924921,3337082,7/22/21,17:29:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.43,366,MIX AV,MIX AV,,KAY VUE DRIVE ,300,Feet,N,1,Clear,1,Daylight,1,Dry,,"Trafficway, Not on Road",7/22/21 17:29
8601,833991,1,41.409065,-72.909236,3337083,7/22/21,22:38:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,1.59,491,SHERMAN AV,SHERMAN AV NO 1,OLD HILL RD,,,,,1,Clear,4,Dark-Lighted,1,Dry,,"Trafficway, On Road",7/22/21 22:38
6829,833992,1,41.44023,-72.94363,3337084,7/23/21,8:12:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),1,Local,1.21,208,GAYLORD MOUNTAIN RD,GAYLORD MOUNTAIN RD,DEER HILL RD,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/23/21 8:12
6356,833993,1,41.341257,-72.907357,3337085,7/23/21,8:26:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.51,128,DAVIS ST,DAVIS ST,,Hartford Tpke,75,Feet,E,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/23/21 8:26
5090,833994,1,41.336185,-72.911292,3337086,7/24/21,0:43:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),1,State,0.23,707,WHITNEY AV,707-N,,Armory Street,155,Feet,S,1,Clear,4,Dark-Lighted,1,Dry,14200,"Trafficway, Not on Road",7/24/21 0:43
467,838676,1,41.354229,-72.929561,3341768,7/24/21,5:09:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,State,6.33,10,CT-10,10-N,,Cumley St,100,Feet,S,1,Clear,2,Dawn,1,Dry,27700,"Trafficway, On Road",7/24/21 5:09
5687,833995,1,41.399493,-72.909745,3337087,7/24/21,10:26:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.32,626,ANNS FARM RD,ANNS FARM RD,,KNOB HILL ROAD,170,Feet,W,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/24/21 10:26
6696,833996,1,41.343318,-72.941158,3337088,7/24/21,14:16:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,Local,0.35,176,FAIRVIEW AV,FAIRVIEW AV,SECOND ST,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/24/21 14:16
1716,833997,1,41.367995,-72.919996,3337089,7/24/21,17:31:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,State,7.39,10,CT-10,10-N,,Connolly PKWY.,375,Feet,N,1,Clear,1,Daylight,1,Dry,22000,"Trafficway, On Road",7/24/21 17:31
8504,834919,1,41.436678,-72.909553,3338011,7/24/21,20:07:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),1,Local,4.49,489,SHEPARD AV,SHEPARD AV,,West Todd Street,25,TenthsofMile,N,1,Clear,3,Dusk,1,Dry,,"Trafficway, On Road",7/24/21 20:07
9044,837522,1,41.332215,-72.898853,3340614,7/24/21,23:47:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.08,560,WEBB ST,WEBB ST,,Webb St,0.100000001,Feet,W,1,Clear,4,Dark-Lighted,1,Dry,,"Trafficway, On Road",7/24/21 23:47
6635,837523,1,41.385392,-72.906755,3340615,7/25/21,1:26:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),1,Local,0.16,174,EVERGREEN AV,EVERGREEN AV,,School Street,200,Feet,N,1,Clear,4,Dark-Lighted,1,Dry,,"Trafficway, On Road",7/25/21 1:26
2606,833998,1,41.337193,-72.942013,3337090,7/25/21,11:41:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,4.79,10,CT-10,10-N,,Arch St,200,Feet,S,1,Clear,1,Daylight,1,Dry,10700,"Trafficway, On Road",7/25/21 11:41
3955,833340,1,41.378226,-72.90529,3336432,7/25/21,14:29:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,51.47,15,15-S,15-S,,Exit 61,350,Feet,W,2,Cloudy,1,Daylight,1,Dry,68700,"Trafficway, On Road",7/25/21 14:29
3956,833341,1,41.378278,-72.905299,3336433,7/25/21,15:00:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,51.47,15,15-S,15-S,,Exit 61,1,TenthsofMile,W,2,Cloudy,1,Daylight,1,Dry,68700,"Trafficway, On Road",7/25/21 15:00
1603,834000,1,41.346575,-72.933769,3337092,7/25/21,18:09:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.76,10,CT-10,10-N,,PUTNAM AVE. ,20,Feet,E,1,Clear,1,Daylight,1,Dry,22400,"Trafficway, On Road",7/25/21 18:09
125,834001,1,41.363871,-72.92302,3337093,7/26/21,12:08:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,7.07,10,CT-10,10-N,,WHEELER ST,50,Feet,N,1,Clear,1,Daylight,1,Dry,38300,"Trafficway, On Road",7/26/21 12:08
6722,838677,1,41.37891,-72.928769,3341769,7/26/21,13:32:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.02,688,FARM BROOK CT,FARM BROOK CT,,Denslow Hill Rd.,25,Feet,S,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/26/21 13:32
5477,834920,1,41.3836,-72.9,3338012,7/27/21,16:08:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,0.09,717,DIXWELL AV,717-E,,WASHINGTON AVE.,150,Feet,W,1,Clear,1,Daylight,1,Dry,15700,"Trafficway, On Road",7/27/21 16:08
4697,834921,1,41.33554,-72.900216,3338013,7/27/21,16:14:00,O,Property Damage Only,O,No Apparent Injury (O),2,USRoute,1.57,5,US-5,5-N,RIDGE RD,,,,,1,Clear,1,Daylight,1,Dry,14400,"Trafficway, On Road",7/27/21 16:14
4217,833343,1,41.378117,-72.905312,3336435,7/27/21,16:22:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.18,15,15-S,15-S-122,,rt 15,30,Feet,N,1,Clear,1,Daylight,1,Dry,9700,"Trafficway, On Road",7/27/21 16:22
7710,835981,1,41.33627,-72.926585,3339073,7/27/21,16:59:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),1,Local,0.51,385,NEWHALL ST,NEWHALL ST,,MARLBORO ST,30,Feet,N,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/27/21 16:59
1002,835982,1,41.4067,-72.899379,3339074,7/27/21,20:28:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,10.66,10,CT-10,10-N,,HOME PL.,100,Feet,N,4,Rain,4,Dark-Lighted,2,Wet,25200,"Trafficway, On Road",7/27/21 20:28
8505,837524,1,41.417375,-72.922522,3340616,7/27/21,22:27:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),1,Local,2.94,489,SHEPARD AV,SHEPARD AV,,Apple Tree Lane,50,Feet,S,4,Rain,6,Dark-Unknown Lighting,2,Wet,,"Trafficway, On Road",7/27/21 22:27
6206,835983,1,41.35228,-72.936,3339075,7/28/21,9:04:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.96,99,CIRCULAR AV,CIRCULAR AV,PEARL AV,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/28/21 9:04
1003,835984,1,41.409956,-72.900626,3339076,7/28/21,12:07:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,10.9,10,CT-10,10-N,,EVERGREEN AVE.,50,Feet,N,1,Clear,1,Daylight,1,Dry,25200,"Trafficway, On Road",7/28/21 12:07
3157,833844,1,41.358607,-72.94047,3336936,7/28/21,12:17:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,49.1,15,15-N,15-N,,15-N-220,9,TenthsofMile,S,1,Clear,1,Daylight,1,Dry,77800,"Trafficway, On Road",7/28/21 12:17
4451,935086,1,41.36962,-72.914903,921173,7/28/21,14:21:00,K,Fatal (Kill),K,Fatal Injury (K),1,State,50.7,15,15-S,15-S,,Exit 60,5,TenthsofMile,N,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/28/21 14:21
126,834003,1,41.367209,-72.92077,3337095,7/28/21,14:41:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,7.14,10,CT-10,10-N,CONNOLLY PKWY,,,,,1,Clear,1,Daylight,1,Dry,38300,"Trafficway, On Road",7/28/21 14:41
4698,835985,1,41.329721,-72.898647,3339077,7/28/21,15:12:00,O,Property Damage Only,O,No Apparent Injury (O),2,USRoute,1.13,5,US-5,5-N,PARK RD,,,,N,1,Clear,1,Daylight,1,Dry,14400,"Trafficway, On Road",7/28/21 15:12
6072,834004,1,41.432292,-72.920144,3337096,7/28/21,15:49:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.1,90,CHATTERTON WAY,CHATTERTON WAY,,Chatterton Woods,300,Feet,N,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/28/21 15:49
376,835986,1,41.363756,-72.923098,3339078,7/28/21,16:37:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,6.88,10,CT-10,10-N,WHEELER ST,,,,,1,Clear,1,Daylight,1,Dry,31800,"Trafficway, On Road",7/28/21 16:37
7638,835987,1,41.4235,-72.885347,3339079,7/28/21,18:46:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.51,375,MOUNT CARMEL AV,MOUNT CARMEL AV,,OUTER RIDGE RD.,700,Feet,W,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",7/28/21 18:46
2565,837525,1,41.38073595,-72.91222386,3340617,7/29/21,9:11:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,8.38,10,CT-10,10-N,,Sanford Street,50,Feet,S,1,Clear,1,Daylight,1,Dry,11200,"Trafficway, On Road",7/29/21 9:11
7226,835992,1,41.38008,-72.92448,3339084,7/29/21,18:23:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.28,273,HOWARD DR,HOWARD DR,,PHELPS DR,453,Feet,W,2,Cloudy,1,Daylight,1,Dry,,"Trafficway, Not on Road",7/29/21 18:23
5973,835993,1,41.33679,-72.93797,3339085,7/29/21,21:52:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.08,52,BOWEN ST,BOWEN ST,,Bowen Street,10,Feet,W,4,Rain,5,Dark-Not Lighted,2,Wet,,Non-trafficway,7/29/21 21:52
4699,837526,1,41.334265,-72.900609,3340618,7/30/21,11:47:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,USRoute,1.47,5,US-5,5-N,FARM RD,,,,S,1,Clear,1,Daylight,1,Dry,14400,"Trafficway, Not on Road",7/30/21 11:47
1883,838679,1,41.342303,-72.934797,3341771,7/30/21,12:42:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,State,5.46,10,CT-10,10-N,,First St,50,Feet,S,1,Clear,1,Daylight,1,Dry,21100,"Trafficway, On Road",7/30/21 12:42
